"name","album","release_date","track_number","uri","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
"Mine (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",1,"spotify:track:7G0gBu6nLdhFDPRLc0HdDG",0.00314,0.647,0.793,1.93e-06,0.174,-2.903,0.0363,121.101,0.5,74,"03:51"
"Sparks Fly (Taylor’s Version)","Speak Now (Taylor's Version)","2023-07-07",2,"spotify:track:3MytWN8L7shNYzGl4tAKRp",0.0241,0.605,0.769,0,0.0936,-2.413,0.032,114.921,0.366,72,"04:21"
"Back To December (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",3,"spotify:track:79uDOz0zuuWS7HWxzMmTa2",0.00705,0.486,0.635,0,0.119,-3.994,0.0278,141.868,0.235,74,"04:54"
"Speak Now (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",4,"spotify:track:5xXqyjLicvEpch72qEryFT",0.225,0.734,0.686,0,0.136,-2.926,0.0349,119.002,0.598,69,"04:02"
"Dear John (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",5,"spotify:track:1zU8j1x3yi9xalMF96pzKp",0.0327,0.379,0.468,0,0.158,-5.07,0.0298,119.447,0.115,69,"06:45"
"Mean (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",6,"spotify:track:30Y4CV7A6YqtQtTTo7Ue4j",0.321,0.526,0.7,0,0.213,-3.95,0.0392,163.949,0.596,69,"03:58"
"The Story Of Us (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",7,"spotify:track:6dTA6y0C2ReQklntzZl8l3",0.00136,0.516,0.784,0,0.0499,-2.636,0.0563,139.787,0.552,70,"04:27"
"Never Grow Up (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",8,"spotify:track:2EFZ9emtKWEglWUQGEQ3P9",0.867,0.684,0.339,0,0.194,-7.259,0.029,125.054,0.572,65,"04:52"
"Enchanted (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",9,"spotify:track:3sW3oSbzsfecv9XoUdGs7h",0.016,0.52,0.553,0,0.165,-3.546,0.0269,81.949,0.227,80,"05:53"
"Better Than Revenge (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",10,"spotify:track:0NwGC0v03ysCYINtg6ns58",0.000795,0.505,0.893,0,0.178,-3.013,0.0771,145.913,0.659,71,"03:40"
"Innocent (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",11,"spotify:track:12nBPF4Rh4XLFJV0YLN7uj",0.0972,0.524,0.611,0,0.127,-5.298,0.0297,133.583,0.126,63,"05:01"
"Haunted (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",12,"spotify:track:4tMzIAFTFdqGBQLdfbPces",0.00552,0.44,0.916,0,0.252,-1.927,0.0629,162.025,0.371,69,"04:05"
"Last Kiss (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",13,"spotify:track:59KOoHFcw5XfICnO57holu",0.443,0.557,0.362,3.57e-06,0.1,-8.641,0.0263,79.573,0.187,69,"06:09"
"Long Live (Taylor's Version)","Speak Now (Taylor's Version)","2023-07-07",14,"spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs",0.0162,0.38,0.628,0,0.227,-4.054,0.038,203.826,0.0984,73,"05:17"
"Ours (Taylor’s Version)","Speak Now (Taylor's Version)","2023-07-07",15,"spotify:track:3yNJkriPzWjkkDAWHIAVUq",0.42,0.539,0.475,0,0.109,-8.411,0.0287,159.824,0.293,66,"03:55"
"Superman (Taylor’s Version)","Speak Now (Taylor's Version)","2023-07-07",16,"spotify:track:4evLyY5Ue1Wesc61t2KXAU",0.00207,0.537,0.733,0,0.11,-3.506,0.0302,131.898,0.347,62,"04:34"
"Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)","2023-07-07",17,"spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ",0.018,0.547,0.854,0,0.156,-4.753,0.0526,131.068,0.26,68,"04:26"
"When Emma Falls in Love (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)","2023-07-07",18,"spotify:track:0zo975x58DlXbZllWvfYhg",0.168,0.524,0.759,0,0.104,-4.714,0.0471,77.879,0.234,66,"04:12"
"I Can See You (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)","2023-07-07",19,"spotify:track:5kHMfzgLZP95O9NBy0ku4v",0.0577,0.695,0.768,0,0.0426,-4.883,0.0344,123.054,0.813,75,"04:33"
"Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)","2023-07-07",20,"spotify:track:4ABYxlb92WBIjHu7TIKmml",0.342,0.578,0.565,0,0.0662,-8.064,0.0441,147.781,0.351,67,"05:06"
"Foolish One (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)","2023-07-07",21,"spotify:track:4s8BIKx4Zh6ryAEz8RTlaU",0.599,0.672,0.613,0,0.112,-4.709,0.0298,97.041,0.557,68,"05:11"
"Timeless (Taylor’s Version) (From The Vault)","Speak Now (Taylor's Version)","2023-07-07",22,"spotify:track:1HCdems7PQZRj42QDWLA0A",0.332,0.629,0.578,0,0.0868,-5.806,0.0319,142.887,0.651,69,"05:21"
